platform_id	scope_id	scope_name	scope_type	scope_description	required_for_mvp	mvp_reason	danger_level	notes	source_urls
shopify	write_purchase_options	Write purchase options	oauth_scope	Manage purchase options.	NO	Optional.	high	Can affect buying flows.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_reports	Read reports	oauth_scope	Read reports.	NO	Optional.	low	Reporting only.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_returns	Read returns	oauth_scope	Read returns.	NO	Optional.	medium	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_returns	Write returns	oauth_scope	Create/update returns.	NO	Optional.	high	Can modify return state.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_script_tags	Read script tags	oauth_scope	Read script tags.	NO	Optional.	medium	Security-sensitive surface.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_script_tags	Write script tags	oauth_scope	Manage script tags.	NO	Optional.	high	Code injection risk.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_shipping	Read shipping	oauth_scope	Read shipping.	NO	Optional.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_shipping	Write shipping	oauth_scope	Update shipping.	NO	Optional.	high	Can change shipping rates/rules.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_shopify_payments_disputes	Read Shopify Payments disputes	oauth_scope	Read disputes.	NO	Optional.	high	Financial disputes data.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_shopify_payments_dispute_evidences	Read dispute evidences	oauth_scope	Read dispute evidence.	NO	Optional.	high	Sensitive dispute materials.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_shopify_payments_payouts	Read payouts	oauth_scope	Read payouts.	NO	Optional.	high	Financial payouts data.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_store_credit_accounts	Read store credit accounts	oauth_scope	Read store credit accounts.	NO	Optional.	high	Value-bearing accounts.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_store_credit_account_transactions	Read store credit transactions	oauth_scope	Read store credit account transactions.	NO	Optional.	high	Financial transaction data.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_store_credit_account_transactions	Write store credit transactions	oauth_scope	Create transactions on store credit accounts.	NO	Optional.	high	Can create/modify value transactions.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_themes	Read themes	oauth_scope	Read themes.	NO	Optional.	medium	Theme code exposure.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_themes	Write themes	oauth_scope	Update themes.	NO	Optional.	high	Can change storefront code.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_translations	Read translations	oauth_scope	Read translations.	NO	Optional.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_users	Read users	oauth_scope	Read users.	NO	Optional.	medium	User/PII implications.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	read_validations	Read validations	oauth_scope	Read validations.	NO	Optional.	low	—	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
shopify	write_validations	Write validations	oauth_scope	Manage validations.	NO	Optional.	medium	Can affect validation rules.	https://shopify.dev/docs/apps/build/authentication-authorization/access-scopes
gmail	https://mail.google.com/	Full access to Gmail	oauth_scope	Read/write all resources and manage mail.	NO	Too broad for most MVPs.	high	Use narrower gmail.* scopes where possible.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.addons.current.action.compose	Gmail Add-ons: compose actions	oauth_scope	Manage drafts and send mail as part of add-on compose actions.	NO	Add-on specific.	high	Add-on context only.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.addons.current.message.action	Gmail Add-ons: message actions	oauth_scope	View message metadata and perform actions in add-on context.	NO	Add-on specific.	medium	Add-on context only.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.addons.current.message.metadata	Gmail Add-ons: message metadata	oauth_scope	View message metadata (add-on).	NO	Add-on specific.	low	Add-on context only.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.addons.current.message.readonly	Gmail Add-ons: message readonly	oauth_scope	View message content (add-on).	NO	Add-on specific.	medium	Add-on context only.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.compose	Compose mail	oauth_scope	Create drafts and send messages.	YES	Send emails / drafts.	high	Sending email risk.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.insert	Insert mail	oauth_scope	Insert messages into mailbox (e.g., import).	NO	Rare for MVP.	high	Mailbox integrity risk.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.labels	Manage labels	oauth_scope	Create/read/update/delete labels.	MAYBE	If you organize mail by labels.	medium	Can alter label taxonomy.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.metadata	Read metadata	oauth_scope	Read message metadata only (not body).	YES	Common “read-only-ish” integration.	low	Safer than full read.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.modify	Modify mail	oauth_scope	Read/modify messages but not full delete.	YES	Mark read/archive/apply labels.	medium	Can alter mailbox state.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.readonly	Read mail	oauth_scope	Read messages and settings (read-only).	YES	Read-only mailbox access.	medium	Still exposes content.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.send	Send mail	oauth_scope	Send email.	YES	If you send outbound mail.	high	Outbound messaging risk.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.settings.basic	Basic settings	oauth_scope	Manage basic mail settings.	NO	Optional.	medium	Settings changes can be disruptive.	https://developers.google.com/workspace/gmail/api/guides/authorizing
gmail	https://www.googleapis.com/auth/gmail.settings.sharing	Sharing settings	oauth_scope	Manage sharing-related settings.	NO	Optional.	high	Delegation/sharing risk.	https://developers.google.com/workspace/gmail/api/guides/authorizing
ga4_data	https://www.googleapis.com/auth/analytics	Google Analytics: manage	oauth_scope	View and manage Google Analytics data.	NO	Usually too broad; read-only is MVP.	high	Prefer readonly for MVP.	https://googleapis.dev/dotnet/Google.Apis.AnalyticsData.v1beta/latest/api/Google.Apis.AnalyticsData.v1beta.AnalyticsDataService.ScopeConstants.html
ga4_data	https://www.googleapis.com/auth/analytics.readonly	Google Analytics: readonly	oauth_scope	See and download Google Analytics data.	YES	Core “read analytics” MVP.	low	Read-only.	https://googleapis.dev/dotnet/Google.Apis.AnalyticsData.v1beta/latest/api/Google.Apis.AnalyticsData.v1beta.AnalyticsDataService.ScopeConstants.html
ga4_admin	https://www.googleapis.com/auth/analytics.edit	Google Analytics: edit	oauth_scope	Edit Analytics admin resources.	NO	Admin changes rarely needed for MVP.	high	Can change property/account config.	https://googleapis.dev/dotnet/Google.Apis.AnalyticsAdmin.v1beta/latest/api/Google.Apis.AnalyticsAdmin.v1beta.AnalyticsAdminService.ScopeConstants.html
ga4_admin	https://www.googleapis.com/auth/analytics.manage.users	GA: manage users	oauth_scope	Manage users for Analytics accounts/properties.	NO	High-risk; avoid.	high	User access governance.	https://googleapis.dev/dotnet/Google.Apis.AnalyticsAdmin.v1beta/latest/api/Google.Apis.AnalyticsAdmin.v1beta.AnalyticsAdminService.ScopeConstants.html
ga4_admin	https://www.googleapis.com/auth/analytics.manage.users.readonly	GA: manage users readonly	oauth_scope	Read user management info.	NO	Usually not needed.	medium	User access visibility.	https://googleapis.dev/dotnet/Google.Apis.AnalyticsAdmin.v1beta/latest/api/Google.Apis.AnalyticsAdmin.v1beta.AnalyticsAdminService.ScopeConstants.html
ga4_admin	https://www.googleapis.com/auth/analytics.readonly	GA: readonly	oauth_scope	Read Analytics data.	MAYBE	If Admin API reads require it.	low	Read-only.	https://googleapis.dev/dotnet/Google.Apis.AnalyticsAdmin.v1beta/latest/api/Google.Apis.AnalyticsAdmin.v1beta.AnalyticsAdminService.ScopeConstants.html
google_ads	https://www.googleapis.com/auth/adwords	Google Ads	oauth_scope	Access Google Ads API.	YES	Run/read/manage campaigns (depending on endpoint).	high	Spending risk; requires dev token + approvals.	https://developers.google.com/google-ads/api/docs/oauth/overview
search_console	https://www.googleapis.com/auth/webmasters	Search Console (manage)	oauth_scope	Full access to Search Console sites.	MAYBE	Needed only if you submit sitemaps / manage properties.	high	Can change some site-level resources.	https://developers.google.com/webmaster-tools/v1/how-tos/authorizing
search_console	https://www.googleapis.com/auth/webmasters.readonly	Search Console (readonly)	oauth_scope	Read Search Console data.	YES	Core read-only analytics MVP.	low	Read-only.	https://developers.google.com/webmaster-tools/v1/how-tos/authorizing
merchant_center_content_api	https://www.googleapis.com/auth/content	Content API for Shopping	oauth_scope	Manage product listings and Merchant Center accounts.	YES	Product/feed sync MVP.	high	Sensitive scope (verification may apply).	https://developers.google.com/shopping-content/guides/how-tos/authorizing
youtube	https://www.googleapis.com/auth/youtube	YouTube (manage)	oauth_scope	Manage YouTube account.	MAYBE	If you upload/update content.	high	Publishing/modification risk.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
youtube	https://www.googleapis.com/auth/youtube.channel-memberships.creator	Channel memberships (creator)	oauth_scope	Access channel memberships features for creators.	NO	Specialized.	medium	Feature-specific.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
youtube	https://www.googleapis.com/auth/youtube.force-ssl	YouTube force-SSL	oauth_scope	Manage YouTube account over SSL; often required for some write operations.	MAYBE	For certain write endpoints.	high	Write-capable.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
youtube	https://www.googleapis.com/auth/youtube.readonly	YouTube readonly	oauth_scope	View YouTube account.	YES	Read channel/video data.	low	Read-only.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
youtube	https://www.googleapis.com/auth/youtube.upload	YouTube upload	oauth_scope	Upload YouTube videos.	MAYBE	If uploading.	high	Publishing risk.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
youtube	https://www.googleapis.com/auth/youtubepartner	YouTube Partner	oauth_scope	Retrieve/manage YouTube content and associated assets.	NO	Partner-only.	high	Requires partner access.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
youtube	https://www.googleapis.com/auth/youtubepartner-channel-audit	Partner channel audit	oauth_scope	Retrieve private channel audit data.	NO	Partner-only.	high	Sensitive.	https://developers.google.com/resources/api-libraries/documentation/youtube/v3/cpp/latest/classyoutube__api_1_1YouTubeService_1_1SCOPES.html
pinterest	ads:read	Ads read	oauth_scope	See all advertising data (ads, ad groups, campaigns, etc.).	MAYBE	Needed for read-only ads analytics.	medium	Ad account access implications.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	ads:write	Ads write	oauth_scope	Create/update/delete ads, ad groups, campaigns, etc.	MAYBE	Needed to manage campaigns.	high	Spending/ads mutation risk.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	billing:read	Billing read	oauth_scope	See billing data/billing profile.	NO	Avoid for MVP.	high	Financial data.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	billing:write	Billing write	oauth_scope	Create/update/delete billing data/billing profiles.	NO	Avoid.	high	Financial mutation.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	biz_access:read	Business access read	oauth_scope	See business access data.	NO	Optional.	medium	Org governance surface.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	biz_access:write	Business access write	oauth_scope	Create/update/delete business access data.	NO	Optional.	high	Org governance mutation.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	boards:read	Boards read	oauth_scope	See public boards (incl. group boards you join).	YES	Core content reading.	low	—	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	boards:read_secret	Boards read secret	oauth_scope	See secret boards.	NO	Avoid unless required.	medium	Private content.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	boards:write	Boards write	oauth_scope	Create/update/delete public boards.	MAYBE	If publishing boards.	medium	Content mutation.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	boards:write_secret	Boards write secret	oauth_scope	Create/update/delete secret boards.	NO	Optional.	high	Private content mutation.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	catalogs:read	Catalogs read	oauth_scope	See catalogs data.	NO	Optional.	medium	Product feed context.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	catalogs:write	Catalogs write	oauth_scope	Create/update/delete catalogs data.	NO	Optional.	high	Product feed mutation.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	pins:read	Pins read	oauth_scope	See public Pins.	YES	Read content.	low	—	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	pins:read_secret	Pins read secret	oauth_scope	See secret Pins.	NO	Avoid unless required.	medium	Private content.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	pins:write	Pins write	oauth_scope	Create/update/delete public Pins.	MAYBE	Publishing MVP.	high	Publishing risk.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	pins:write_secret	Pins write secret	oauth_scope	Create/update/delete secret Pins.	NO	Optional.	high	Private publishing risk.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	user_accounts:read	User accounts read	oauth_scope	See user accounts and followers.	MAYBE	Needed for identity/profile contexts.	low	—	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
pinterest	user_accounts:write	User accounts write	oauth_scope	Update user accounts and followers.	NO	Avoid.	high	Account mutation.	https://raw.githubusercontent.com/pinterest/api-description/v5.12.0/v5/openapi.yaml
